98	97	97	146
120	98	97	350
140	232	140	134
134	120	119	108
105	85	97	103
67	95	105	72
75	65	105	65
74	68	68	63
113	97.5	97	140
105	98	98	105
91	105	98	120
112	150	110	122
116	120	108	79
119	171	90	232
91	225	250	250
145	230	49	75
70	70	65	69
115	115	90	76
90	78	90	75
46	87	90	95
175	150	145	137
100	90	105	85
88	85	84	90
151	140	151	225
156	85	90	90
81	97	85	89
90	70	76	65
91	260	318	302
58	64	60	67
65	75	100	110
80	77	125	71
88	71	72	97
97	76	83	90
83	140	150	120
96	71	97	97
110	95	71	70
97	110	110	48
72	102	150	88
89	63	83	67
80	76	116	120
94	90	85	107
170	145	150	148
84	84	92	110
304	307	302	318
122	155	98	350
90	95	88	98
145	110	145	130
88	75	70	67
60	70	95	80
86	92	97	80
62	132	100	88
67	110	85	92
52	70	60	110
62	68	63	65
74	75	75	100
75	75	75	97
70	65	90	88
90	86	165	175
60	70	53	100
48	67	67	67
36.4	30	44.6	33.8
39	35.1	32.3	37
25	38	26	22
34.1	34.7	34.4	29.9
37	31	38	36
36	34	38	32
34.5	31.8	37.3	28.4
31	29	27	24
28	25	25	26
33.7	32.4	32.9	31.6
39.4	36.1	19.9	19.4
46.6	27.9	40.8	44.3
37.2	28	26.4	24.3
25	16	16	18
36	27	27	44
28	31	12	11.5
30	36	25.5	33.5
19	18	15	15
27.5	27.2	30.9	21.1
32.7	23.7	35	32.4
26	26	31	32
26.8	33.5	41.5	38.1
30.7	25.4	24.2	22.4
30	30	31	35
24	26	24	26
25.4	23	27.2	23.9
26.6	25.8	23.5	30
28	25	19	16
26	24	25	23
17.5	16	15.5	14.5
20.2	17.6	28	27
20	13	19	19
25	24	25	26
30.5	33.5	30	30.5
22.2	13.2	14.9	19.2
29	33	20	18
22	18	21	27
25	24	18	29
23.8	23.9	20.3	17
28	23	28	27
18	19	21	26
22	24	22.5	29
21.5	21.5	43.1	36.1
15.5	16.7	12.1	12
16.2	31.5	29.5	21.5
14.4	19.4	18.6	16.4
10	10	11	9
19.5	11.5	14	14.5
19	18.5	16	15.5
19.4	20.6	20.8	18.6
19.2	20.5	20.2	25.1
21	13	14	15
19	15	31	26
22.3	20.2	20.6	17
18.6	18	16.2	16
18	16	17	14.5
18.5	31.9	34.1	35.7
21.7	23.7	19.9	21.8
34.3	29.8	31.3	37
15	24	20	11
23	23	22	25
18	19	20.5	15.5
19.5	16.5	13.5	18.5
16.5	21	17	17
17.5	29.5	32	28
19.2	17.7	18.1	17.5
20.1	18.7	15.8	15.5
22	19	18	23
23	26	11	12
16	16.5	16	21
16.5	14	14.5	13.5
16.4	15.3	18.2	17.6
19.4	17.3	16	14.9
21	16.2	17.8	12.2
16.5	18.2	16.9	15.5
22.2	22.1	14.2	17.4
17	15.5	15	17.5
12.5	15	14	15
15	15.2	17.9	14.4
15	14	14	14
19	18	14	14
23.5	19.5	16.5	12
16.4	13.6	15.7	13.2
18.7	15.1	13.2	13.4
15.4	18.2	17.3	18.2
15.4	13.4	13.2	15.2
16.5	13	13	13
19	14.5	15.5	14
14.1	14.5	12.8	13.5
20.7	14.2	14.4	16.8
13	14	14	14
15	16	14	17
15	18	21	20
14.5	20.5	17.5	14.5
15.5	16.5	15.5	14.5
18.5	13.5	16.5	17
18.2	15.8	17	15.9
13.6	15.7	15.8	14.9
15.4	17.2	17.2	15.8
24.6	11.6	18.6	19.4
16	29	24.5	26
14	15.5	11	14
16.8	12.5	19	13.7
13.2	12.8	19.2	18.2
14.4	15	20.1	17.4
17	15.7	16.4	14.4
15	14	15	14
16	29	24	20
16.5	13	11.5	13
15.5	16	16	16
13.5	12	16	17
14	18.5	14.8	18.6
15.7	16.2	16.4	17
17.7	15.3	13	13
16.4	16.9	17.7	19
14.3	15	13	14
18.3	20.4	19.6	12.6
16	11.3	12.9	13.2
18.8	15.5	16.4	16.5
17.3	14.5	14.5	16.9
14	14	19.5	14.5
12.5	11.5	12	13
11	11	11	16.5
14	17	15	17
13.5	17.5	15.5	16.9
14.8	16.7	17.6	14.9
14.7	13.9	13	17.3
14	12	13	13
17	11	13	12
18	22	21	26
16	14	14.5	18
12.5	13	12.5	15
15.5	13	9.5	19.5
12.8	15.4	14.5	17.6
18	15.3	11.4	12.5
15.8	19	17.1	16.6
18.5	14.5	15.5	14
13.5	12.5	13.5	12.5
11	16.5	16	17
21	18.5	19	19
19	15	13	13
14	13	14	15
12	18	20	21
29	23	20	23
15.5	15.5	15.5	15.5
12.9	16.9	16.4	16.1
13	13	14	13
13	18	16	18
11.5	13.5	13	11.5
12	13.5	19	15
13.5	13	11.5	11
13.7	16.5	14.2	14.7
11.4	12.2	14.5	14.5
12	10.5	10	9
10	15	15.5	15.5
10	8.5	10	8
