98	97	97	98
120	98	97	97
140	232	140	97
134	120	119	97
105	85	97	95
67	95	105	93
75	65	105	92
74	68	68	92
113	97.5	97	91
105	98	98	91
91	105	98	91
112	150	110	91
116	120	108	90
119	171	90	90
91	225	250	90
145	230	49	90
70	70	65	90
115	115	90	90
90	78	90	90
46	87	90	88
175	150	145	88
100	90	105	88
88	85	84	88
151	140	151	86
156	85	90	86
81	97	85	86
90	70	76	86
91	260	318	85
58	64	60	84
65	75	100	80
80	77	125	80
88	71	72	79
97	76	83	79
83	140	150	79
96	71	97	78
110	95	71	78
97	110	110	78
72	102	150	75
89	63	83	75
80	76	116	74
94	90	85	72
170	145	150	72
84	84	92	72
304	307	302	70
122	155	98	70
90	95	88	70
145	110	145	70
88	75	70	70
60	70	95	69
86	92	97	69
62	132	100	67
67	110	85	67
52	70	60	66
62	68	63	65
74	75	75	65
75	75	75	61
70	65	90	60
90	86	165	54
60	70	53	52
48	67	67	48
36.4	30	44.6	43.4
39	35.1	32.3	39.1
25	38	26	38
34.1	34.7	34.4	37.7
37	31	38	36
36	34	38	36
34.5	31.8	37.3	34.2
31	29	27	34
28	25	25	33
33.7	32.4	32.9	33
39.4	36.1	19.9	32.8
46.6	27.9	40.8	32.2
37.2	28	26.4	32.1
25	16	16	32
36	27	27	32
28	31	12	32
30	36	25.5	31.5
19	18	15	31
27.5	27.2	30.9	30
32.7	23.7	35	29.8
26	26	31	29
26.8	33.5	41.5	28.8
30.7	25.4	24.2	28.1
30	30	31	28
24	26	24	28
25.4	23	27.2	27.4
26.6	25.8	23.5	27.2
28	25	19	27
26	24	25	27
17.5	16	15.5	27
20.2	17.6	28	26.6
20	13	19	26.5
25	24	25	26
30.5	33.5	30	25.5
22.2	13.2	14.9	24.8
29	33	20	24.5
22	18	21	24
25	24	18	24
23.8	23.9	20.3	23.2
28	23	28	22
18	19	21	22
22	24	22.5	22
21.5	21.5	43.1	22
15.5	16.7	12.1	21.9
16.2	31.5	29.5	21.6
14.4	19.4	18.6	21.5
10	10	11	21
19.5	11.5	14	21
19	18.5	16	20.5
19.4	20.6	20.8	20.5
19.2	20.5	20.2	20.2
21	13	14	20
19	15	31	20
22.3	20.2	20.6	19.8
18.6	18	16.2	19.6
18	16	17	19.5
18.5	31.9	34.1	19.2
21.7	23.7	19.9	19.2
34.3	29.8	31.3	19.1
15	24	20	19
23	23	22	19
18	19	20.5	19
19.5	16.5	13.5	19
16.5	21	17	19
17.5	29.5	32	18.5
19.2	17.7	18.1	18.1
20.1	18.7	15.8	18.1
22	19	18	18
23	26	11	18
16	16.5	16	18
16.5	14	14.5	18
16.4	15.3	18.2	18
19.4	17.3	16	17.8
21	16.2	17.8	17.7
16.5	18.2	16.9	17.6
22.2	22.1	14.2	17.6
17	15.5	15	17.5
12.5	15	14	17.5
15	15.2	17.9	17.5
15	14	14	17
19	18	14	17
23.5	19.5	16.5	17
16.4	13.6	15.7	17
18.7	15.1	13.2	16.7
15.4	18.2	17.3	16.6
15.4	13.4	13.2	16.6
16.5	13	13	16.5
19	14.5	15.5	16.5
14.1	14.5	12.8	16.4
20.7	14.2	14.4	16.2
13	14	14	16
15	16	14	16
15	18	21	16
14.5	20.5	17.5	16
15.5	16.5	15.5	16
18.5	13.5	16.5	16
18.2	15.8	17	16
13.6	15.7	15.8	15.9
15.4	17.2	17.2	15.8
24.6	11.6	18.6	15.6
16	29	24.5	15.5
14	15.5	11	15.5
16.8	12.5	19	15.5
13.2	12.8	19.2	15.5
14.4	15	20.1	15.2
17	15.7	16.4	15.1
15	14	15	15
16	29	24	15
16.5	13	11.5	15
15.5	16	16	15
13.5	12	16	15
14	18.5	14.8	15
15.7	16.2	16.4	15
17.7	15.3	13	14.9
16.4	16.9	17.7	14.9
14.3	15	13	14.9
18.3	20.4	19.6	14.8
16	11.3	12.9	14.7
18.8	15.5	16.4	14.7
17.3	14.5	14.5	14.7
14	14	19.5	14.5
12.5	11.5	12	14.5
11	11	11	14.5
14	17	15	14.5
13.5	17.5	15.5	14.5
14.8	16.7	17.6	14.5
14.7	13.9	13	14.5
14	12	13	14
17	11	13	14
18	22	21	14
16	14	14.5	14
12.5	13	12.5	14
15.5	13	9.5	14
12.8	15.4	14.5	13.9
18	15.3	11.4	13.8
15.8	19	17.1	13.8
18.5	14.5	15.5	13.5
13.5	12.5	13.5	13.5
11	16.5	16	13.5
21	18.5	19	13.5
19	15	13	13
14	13	14	13
12	18	20	13
29	23	20	13
15.5	15.5	15.5	13
12.9	16.9	16.4	12.6
13	13	14	12
13	18	16	12
11.5	13.5	13	12
12	13.5	19	12
13.5	13	11.5	12
13.7	16.5	14.2	11.2
11.4	12.2	14.5	11.1
12	10.5	10	11
10	15	15.5	9.5
10	8.5	10	8.5
